"Source:","C:\Users\tibo\Desktop\EOMarkers\PCB\PCB_ESP32-C3-DevKitC-02\PCB.kicad_sch"
"Date:","10/12/2023 15:09:07"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","10"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"J1","1","Conn_01x08_Socket","Conn_01x08_Socket","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","Generic connector, single row, 01x08, script generated","",""
"LED1","1","Conn_01x03_Socket","Conn_01x03_Socket","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated","",""
"Q1, Q2","2","NPN","NPN","Package_TO_SOT_SMD:SOT-23","Bipolar transistor symbol for simulation only, substrate tied to the emitter","",""
"R1, R3","2","1KΩ","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R2, R4","2","10KΩ","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"Sensor1","1","Conn_01x03_Socket","Conn_01x03_Socket","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated","",""
"U1","1","ESP32-C3-DEVKITC-02","ESP32-C3-DEVKITC-02","ESP32-C3-DEVKITC-02:XCVR_ESP32-C3-DEVKITC-02","","",""
